id,MarketId,Name,WriteDate
1,19466,One,2021-06-24 11:38:00.000000
2,8106,LiSHOP.,2021-06-24 11:38:01.000000
3,2033,24shop,2021-06-24 11:38:01.000000
4,3467,5 элемент,2021-06-24 11:38:01.000000
5,1791,bigi,2021-06-24 11:38:01.000000
6,965,21vek,2021-06-24 11:38:01.000000
7,627,TECHNO-MOBILE,2021-06-24 11:38:01.000000
8,4490,Мультиком.,2021-06-24 11:38:01.000000
9,6498,Newton,2021-06-24 11:38:01.000000
10,1378,SOCKET,2021-06-24 11:38:01.000000
11,18930,Eclipse,2021-06-24 11:38:01.000000
12,581,iMarket,2021-06-24 11:38:01.000000
13,1689,AMD,2021-06-24 11:38:01.000000
14,18790,e-dostavka,2021-06-24 11:38:01.000000
15,19075,MISMAN,2021-06-24 11:38:03.000000
16,1748,Sli,2021-06-24 11:38:06.000000
17,18655,интернет-магазин 234,2021-06-24 11:38:06.000000
18,1113,Медиа Маркет групп ООО,2021-06-24 11:38:06.000000
19,17755,сНДС,2021-06-24 11:38:06.000000
20,18456,itx,2021-06-24 11:38:06.000000
21,13829,multimart,2021-06-24 11:38:06.000000
22,5363,ВИКО-ТЕХНО,2021-06-24 11:38:06.000000
23,17250,X-Core,2021-06-24 11:38:06.000000
24,6654,prooffice,2021-06-24 11:38:06.000000
25,19211,xi-sale,2021-06-24 11:38:06.000000
26,19257,SNDS,2021-06-24 11:38:06.000000
27,3960,UNI,2021-06-24 11:38:06.000000
28,2611,KST,2021-06-24 11:38:06.000000
29,17247,NeoMag,2021-06-24 11:38:06.000000
30,19463,Mobilaz,2021-06-24 11:38:06.000000
31,12995,beznaltorg,2021-06-24 11:38:06.000000
32,14807,izliv,2021-06-24 11:38:06.000000
33,19088,Megazon,2021-06-24 11:38:06.000000
34,416,ITMarket,2021-06-24 11:38:06.000000
35,674,Nixpro,2021-06-24 11:38:06.000000
36,416,ITMarket,2021-06-24 11:38:06.000000
37,3016,Техника Успеха,2021-06-24 11:38:06.000000
38,3016,Техника Успеха,2021-06-24 11:38:06.000000
39,7779,Ирсен Групп,2021-06-24 11:38:06.000000
40,1062,radiomarket,2021-06-24 11:38:07.000000
41,19222,stepto,2021-06-24 11:38:08.000000
42,19251,А001,2021-06-24 11:38:08.000000
43,1425,НА СВЯЗИ,2021-06-24 11:38:08.000000
44,19096,575,2021-06-24 11:38:08.000000
45,19128,UniKrama,2021-06-24 11:38:08.000000
46,5410,KingStyle,2021-06-24 11:38:08.000000
47,67,Реал-Ноут,2021-06-24 11:38:09.000000
48,13460,Бонус,2021-06-24 11:38:09.000000
49,12310,ХОБОТ,2021-06-24 11:38:09.000000
50,12145,1000melochey,2021-06-24 11:38:09.000000
51,18144,brabantiа,2021-06-24 11:38:09.000000
52,14064,udoma.by,2021-06-24 11:38:09.000000
53,17352,Базарчик,2021-06-24 11:38:09.000000
54,17352,Базарчик,2021-06-24 11:38:09.000000
55,16759,domteplic,2021-06-24 11:38:10.000000
56,18637,Смольный,2021-06-24 11:38:10.000000
57,2434,Магнит Сухарево,2021-06-24 11:38:11.000000
58,17486,Aqua-thermo,2021-06-24 11:38:11.000000
59,14561,СантимГрупп,2021-06-24 11:38:11.000000
60,14913,XIAOMI-STORE,2021-06-24 11:38:12.000000
61,14216,xistore,2021-06-24 11:38:14.000000
62,12176,Интернет-магазин dviglo,2021-06-24 11:38:16.000000
63,12807,PRODETAL,2021-06-24 11:38:16.000000
64,19264,AVD,2021-06-24 11:38:16.000000
65,3248,glonas,2021-06-24 11:38:16.000000
66,12842,Автолайн,2021-06-24 11:38:16.000000
67,16126,Autoconcept,2021-06-24 11:38:18.000000
68,14454,avs auto,2021-06-24 11:38:18.000000
69,19067,xenonshop,2021-06-24 11:38:19.000000
70,232,СТБ Mobile,2021-06-24 11:38:21.000000
71,18896,SMART MARKET,2021-06-24 11:38:22.000000
72,8548,zababon,2021-06-24 11:38:22.000000
73,16297,XIAOMI,2021-06-24 11:38:23.000000
74,17771,e-sale,2021-06-24 11:38:23.000000
75,18960,Smarthub,2021-06-24 11:38:23.000000
76,1443,НОВА,2021-06-24 11:38:23.000000
77,19352,PRO-TECHNO,2021-06-24 11:38:23.000000
78,15024,ksenon.by,2021-06-24 11:38:31.000000
79,8482,1teh,2021-06-24 11:38:32.000000
80,3886,VIPCOMP,2021-06-24 11:38:32.000000
81,15206,tpro,2021-06-24 11:38:32.000000
82,2518,RULEZ,2021-06-24 11:38:32.000000
83,5914,ЗВУКОВИК,2021-06-24 11:38:32.000000
84,18058,Бухта,2021-06-24 11:38:32.000000
85,14747,Магазин Instrument,2021-06-24 11:38:32.000000
86,4820,Удачник,2021-06-24 11:38:32.000000
87,19162,sds plus,2021-06-24 11:38:32.000000
88,16623,TopBaza,2021-06-24 11:38:32.000000
89,5359,dreli,2021-06-24 11:38:32.000000
90,14205,МегаМакс,2021-06-24 11:38:32.000000
91,18174,SEBE,2021-06-24 11:38:32.000000
92,12691,7745 Большой магазин,2021-06-24 11:38:32.000000
93,12691,7745 Большой магазин,2021-06-24 11:38:32.000000
94,14104,HOMY,2021-06-24 11:38:32.000000
95,17048,guter,2021-06-24 11:38:32.000000
96,1340,nm group,2021-06-24 11:38:32.000000
97,4265,GRANDOS,2021-06-24 11:38:32.000000
98,18876,ANKER,2021-06-24 11:38:33.000000
99,17652,КУВАЛДА,2021-06-24 11:38:33.000000
100,19236,Надёжные инструменты,2021-06-24 11:38:34.000000
101,19273,terem-ok,2021-06-24 11:38:34.000000
102,17591,Стройинструмент-М,2021-06-24 11:38:35.000000
103,19112,1HOME,2021-06-24 11:38:36.000000
104,16172,Belsklad,2021-06-24 11:38:38.000000
105,7934,ПронтоТелеком,2021-06-24 11:38:39.000000
106,2138,FBS,2021-06-24 11:38:42.000000
107,792,Nice Shop,2021-06-24 11:38:49.000000
108,792,Nice Shop,2021-06-24 11:38:49.000000
109,7173,Galiley,2021-06-24 11:38:49.000000
110,13598,ВАША ТЕМА,2021-06-24 11:38:49.000000
111,17494,TSPro,2021-06-24 11:38:49.000000
112,5077,Absolut shop,2021-06-24 11:38:49.000000
113,5760,эдельвейс,2021-06-24 11:38:49.000000
114,16028,platus,2021-06-24 11:38:49.000000
115,2716,ТЕХНОКЛАСС,2021-06-24 11:38:49.000000
116,6261,Акваплюс,2021-06-24 11:38:55.000000
117,9511,KLENOF.BY,2021-06-24 11:38:55.000000
118,11522,Лодочник,2021-06-24 11:38:56.000000
119,18050,Asport,2021-06-24 11:39:21.000000
120,5005,Mobi-lux,2021-06-24 11:39:21.000000
121,990,EuroService,2021-06-24 11:39:21.000000
122,14375,domovladelets.by,2021-06-24 11:39:21.000000
123,19042,grillandjoy,2021-06-24 11:39:21.000000
124,14212,springhouse,2021-06-24 11:39:22.000000
125,16247,palatky,2021-06-24 11:39:22.000000
126,12974,Megadacha,2021-06-24 11:39:22.000000
127,12735,ЭЛЕКТРОСИЛА,2021-06-24 11:39:23.000000
128,12735,ЭЛЕКТРОСИЛА,2021-06-24 11:39:23.000000
129,17198,antenka,2021-06-24 11:39:24.000000
130,17261,Goldnails,2021-06-24 11:39:29.000000
131,17470,mynails.by,2021-06-24 11:39:29.000000
132,19232,ИП УСНИЧ Е.В.,2021-06-24 11:39:29.000000
133,17619,Райдер,2021-06-24 11:39:31.000000
134,18126,Берегите Чудо,2021-06-24 11:39:33.000000
135,7293,MagicKids,2021-06-24 11:39:33.000000
136,16263,Lorelli.by,2021-06-24 11:39:34.000000
137,19415,LeoPanda,2021-06-24 11:39:34.000000
138,8765,LevelUP,2021-06-24 11:39:34.000000
139,1901,СВКомп плюс,2021-06-24 11:39:34.000000
140,14700,VipBaby,2021-06-24 11:39:34.000000
141,18607,Магазин «Лебо»,2021-06-24 11:39:35.000000
142,10245,МаМалыш,2021-06-24 11:39:35.000000
143,15197,ЭКСПИРИмЕНТУС,2021-06-24 11:39:35.000000
144,16937,е-baby,2021-06-24 11:39:35.000000
145,15827,selaton,2021-06-24 11:39:36.000000
146,15536,Всё для Света,2021-06-24 11:39:37.000000
147,16289,lampo4ka,2021-06-24 11:39:37.000000
148,16289,lampo4ka,2021-06-24 11:39:37.000000
149,15931,svet24.by,2021-06-24 11:39:37.000000
150,19174,led-svet,2021-06-24 11:39:37.000000
151,3682,bodro,2021-06-24 11:39:41.000000
152,5698,Сэйсимед,2021-06-24 11:39:42.000000
153,6451,"""Оптика-медтехника""",2021-06-24 11:39:42.000000
154,18540,stepmed.by,2021-06-24 11:39:42.000000
